time,pressure,class
0.0,306.163578,0
0.416667,306.1539,0
0.85,306.1539,0
1.25,306.144222,0
1.716667,306.173257,0
2.133333,306.173257,0
2.566667,306.182935,0
3.0,306.163578,0
3.4,306.173257,0
3.85,306.144222,0
4.266667,306.163578,0
4.716667,306.163578,0
5.133333,306.192613,0
5.55,306.21197,0
5.983333,306.182935,0
6.4,306.182935,0
6.833333,306.182935,0
7.266667,306.173257,0
7.7,306.192613,0
7.966667,306.21197,0
8.383333,306.182935,0
8.833333,306.173257,0
8.85,306.173257,0
9.166667,306.173257,0
9.583333,306.221649,0
10.016667,306.182935,0
10.45,306.1539,0
10.9,306.1539,0
11.333333,306.182935,0
11.35,306.182935,0
11.766667,306.1539,0
12.266667,306.192613,0
12.7,306.182935,0
13.183333,306.163578,0
13.633333,306.173257,0
14.083333,306.173257,0
14.5,306.192613,0
14.933333,306.173257,0
15.316667,306.163578,0
15.75,306.182935,0
16.166667,306.182935,0
16.616667,306.173257,0
17.066667,306.173257,0
17.5,306.182935,0
17.95,306.163578,0
18.383333,306.173257,0
18.833333,306.182935,0
19.5,306.182935,0
19.516667,306.182935,0
19.833333,306.192613,0
19.85,306.192613,0
20.25,306.192613,0
20.7,306.221649,0
21.116667,306.182935,0
21.533333,306.192613,0
21.983333,306.221649,0
22.383333,306.21197,0
22.833333,306.192613,0
23.25,306.182935,0
23.683333,306.182935,0
24.1,306.192613,0
24.133333,306.192613,0
24.516667,306.192613,0
24.95,306.192613,0
25.366667,306.21197,0
25.816667,306.182935,0
26.233333,306.221649,0
26.666667,306.221649,0
27.1,306.21197,0
27.5,306.182935,0
27.916667,306.182935,0
28.35,306.192613,0
28.783333,306.221649,0
29.216667,306.221649,0
29.566667,306.21197,0
30.016667,306.221649,0
30.45,306.221649,0
30.866667,306.231327,0
30.883333,306.231327,0
31.3,306.192613,0
31.316667,306.192613,0
31.766667,306.221649,0
32.183333,306.221649,0
32.6,306.192613,0
33.033333,306.221649,0
33.45,306.221649,0
33.883333,306.192613,0
34.3,306.221649,0
34.75,306.221649,0
35.183333,306.241005,0
35.216667,306.241005,0
36.033333,306.231327,0
36.483333,306.241005,0
37.133333,306.221649,0
37.15,306.221649,0
37.616667,306.241005,0
38.15,306.250684,0
38.183333,306.250684,0
38.616667,306.21197,0
39.133333,306.241005,0
39.15,306.241005,0
39.583333,306.241005,0
40.1,306.231327,0
40.116667,306.231327,0
41.05,305.379629,0
41.633333,306.037759,0
42.083333,306.1539,0
42.633333,306.231327,0
42.65,306.231327,0
43.1,306.241005,0
43.533333,306.289397,0
43.566667,306.289397,0
44.15,306.270041,0
44.166667,306.270041,0
44.583333,306.279719,0
45.033333,306.260362,0
45.05,306.260362,0
45.466667,306.279719,0
45.483333,306.279719,0
46.3,306.279719,0
46.333333,306.279719,0
46.766667,306.279719,0
46.783333,306.279719,0
47.2,306.299076,0
47.65,306.279719,0
48.1,306.279719,0
48.516667,306.308754,0
48.533333,306.308754,0
48.966667,306.289397,0
49.4,306.299076,0
49.416667,306.299076,0
49.866667,306.289397,0
