time,pressure,class
0.0,93.810979,0
0.083333,92.78507,0
0.166667,91.894658,0
0.25,91.023603,0
0.333056,90.268689,0
0.416389,89.581524,0
0.499722,88.933072,0
0.583056,88.34269,0
0.666389,87.8007,0
0.749722,87.14257,0
0.833056,86.426369,0
0.916389,85.777918,0
0.999722,85.177858,0
1.083056,84.626189,0
1.166389,84.113235,0
1.249444,83.629316,0
1.332778,83.18411,0
1.416111,82.787296,0
1.499444,82.371125,0
1.582778,81.98399,0
1.666111,81.616211,0
1.749444,81.267789,0
1.832778,80.919367,0
1.916111,80.609659,0
1.999444,80.29995,0
2.0825,80.019277,0
2.165833,79.767639,0
2.249167,79.506323,0
2.3325,79.254685,0
2.415833,79.032082,0
2.499167,78.819157,0
2.5825,78.625589,0
2.665833,78.432022,0
2.749167,78.248132,0
2.8325,78.064243,0
2.915556,77.89971,0
2.998889,77.735178,0
3.082222,77.580324,0
3.165556,77.425469,0
3.248889,77.270615,0
3.332222,77.125439,0
3.415556,76.989942,0
3.498889,76.806053,0
3.582222,76.593128,0
3.665556,76.39956,0
3.748611,76.264063,0
3.831944,76.128566,0
3.915278,75.964033,0
3.998611,75.847892,0
4.081944,75.702716,0
4.165278,75.586576,0
4.248611,75.451078,0
4.331944,75.344616,0
4.415278,75.228476,0
4.498611,75.122013,0
4.581944,75.005873,0
4.665,74.89941,0
4.748333,74.792948,0
4.831667,74.705843,0
4.915,74.59938,0
4.998333,74.512275,0
5.081667,74.405813,0
5.165,74.309029,0
5.248333,74.221923,0
5.331667,74.134818,0
5.415,74.038034,0
5.498056,73.950928,0
5.581389,73.873501,0
5.664722,73.786396,0
5.748056,73.689612,0
5.831389,73.602506,0
5.914722,73.525079,0
5.998056,73.447652,0
6.081389,73.360547,0
6.164722,73.273441,0
6.248056,73.205693,0
6.331111,73.147622,0
6.414444,73.070195,0
6.497778,73.002446,0
6.581111,72.934698,0
6.664444,72.857271,0
6.747778,72.779844,0
6.831111,72.702416,0
6.914444,72.634668,0
6.997778,72.566919,0
7.081111,72.489492,0
7.164167,72.412065,0
7.2475,72.353995,0
7.330833,71.318407,0
7.414167,69.866649,0
7.4975,70.689312,0
7.580833,71.831362,0
7.664167,72.98309,0
7.7475,73.515401,0
7.830833,72.944376,0
7.914167,72.576597,0
7.9975,72.334638,0
8.080556,72.170105,0
8.163889,72.053965,0
8.247222,71.966859,0
8.330556,71.395834,0
